"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2018","3,760","3,840","3,880","3,720","102.32M","-3.59%"
"Oct 17, 2018","3,900","3,800","3,910","3,800","122.95M","3.17%"
"Oct 16, 2018","3,780","3,680","3,780","3,680","98.10M","3.28%"
"Oct 15, 2018","3,660","3,700","3,750","3,650","68.47M","-0.54%"
"Oct 12, 2018","3,680","3,630","3,700","3,620","87.99M","3.08%"
"Oct 11, 2018","3,570","3,500","3,640","3,480","114.42M","-0.83%"
"Oct 10, 2018","3,600","3,640","3,640","3,560","31.94M","0.28%"
"Oct 09, 2018","3,590","3,530","3,620","3,520","58.71M","1.99%"
"Oct 08, 2018","3,520","3,500","3,530","3,470","71.89M","-0.28%"
"Oct 05, 2018","3,530","3,540","3,600","3,530","59.27M","-1.94%"
"Oct 04, 2018","3,600","3,570","3,600","3,510","82.55M","0.00%"
"Oct 03, 2018","3,600","3,570","3,640","3,570","46.61M","-0.55%"
"Oct 02, 2018","3,620","3,640","3,670","3,580","61.39M","-1.36%"
"Oct 01, 2018","3,670","3,610","3,690","3,610","45.50M","0.82%"
"Sep 28, 2018","3,640","3,600","3,670","3,600","116.70M","1.68%"
"Sep 27, 2018","3,580","3,580","3,590","3,550","49.55M","1.13%"
"Sep 26, 2018","3,540","3,550","3,590","3,540","51.06M","-0.56%"
"Sep 25, 2018","3,560","3,540","3,560","3,520","25.35M","0.56%"
"Sep 24, 2018","3,540","3,590","3,600","3,510","48.10M","-1.67%"
"Sep 21, 2018","3,600","3,630","3,630","3,550","98.58M","0.00%"
"Sep 20, 2018","3,600","3,590","3,640","3,570","80.19M","1.41%"
"Sep 19, 2018","3,550","3,580","3,610","3,540","88.14M","-0.56%"
"Sep 18, 2018","3,570","3,470","3,590","3,440","132.57M","2.88%"
"Sep 17, 2018","3,470","3,550","3,570","3,430","95.43M","-3.34%"
"Sep 14, 2018","3,590","3,470","3,600","3,470","156.54M","4.06%"
"Sep 13, 2018","3,450","3,370","3,470","3,370","115.20M","3.92%"
"Sep 12, 2018","3,320","3,380","3,390","3,310","81.22M","-1.78%"
"Sep 10, 2018","3,380","3,380","3,400","3,350","48.74M","-0.29%"
"Sep 07, 2018","3,390","3,360","3,390","3,320","99.45M","0.89%"
"Sep 06, 2018","3,360","3,250","3,380","3,250","172.29M","2.75%"
"Sep 05, 2018","3,270","3,400","3,400","3,250","183.86M","-4.39%"
"Sep 04, 2018","3,420","3,500","3,510","3,410","77.62M","-2.01%"
"Sep 03, 2018","3,490","3,520","3,550","3,480","46.01M","0.00%"
"Aug 31, 2018","3,490","3,500","3,520","3,460","109.92M","-0.57%"
"Aug 30, 2018","3,510","3,580","3,590","3,510","80.35M","-1.96%"
"Aug 29, 2018","3,580","3,560","3,610","3,520","126.71M","0.00%"
"Aug 28, 2018","3,580","3,480","3,600","3,480","224.12M","3.47%"
"Aug 27, 2018","3,460","3,330","3,480","3,310","142.92M","5.17%"
"Aug 24, 2018","3,290","3,290","3,340","3,270","103.48M","-0.30%"
"Aug 23, 2018","3,300","3,390","3,390","3,290","209.40M","-1.49%"
"Aug 21, 2018","3,350","3,400","3,440","3,350","126.75M","-1.18%"
"Aug 20, 2018","3,390","3,420","3,450","3,370","163.13M","1.19%"
"Aug 16, 2018","3,350","3,390","3,430","3,350","112.65M","-2.33%"
"Aug 15, 2018","3,430","3,350","3,450","3,310","95.53M","2.39%"
"Aug 14, 2018","3,350","3,360","3,440","3,330","108.19M","-0.59%"
"Aug 13, 2018","3,370","3,440","3,450","3,360","106.12M","-3.71%"
"Aug 10, 2018","3,500","3,510","3,540","3,480","79.85M","0.29%"
"Aug 09, 2018","3,490","3,520","3,550","3,490","110.45M","-1.69%"
"Aug 08, 2018","3,550","3,600","3,600","3,520","109.08M","-0.84%"
"Aug 07, 2018","3,580","3,650","3,670","3,570","111.02M","-1.92%"
"Aug 06, 2018","3,650","3,480","3,670","3,480","231.85M","5.49%"
"Aug 03, 2018","3,460","3,480","3,490","3,430","224.01M","-1.14%"
"Aug 02, 2018","3,500","3,550","3,590","3,450","171.28M","-1.41%"
"Aug 01, 2018","3,550","3,570","3,600","3,500","190.72M","-0.56%"
"Jul 31, 2018","3,570","3,830","3,830","3,550","339.08M","-8.70%"
"Jul 30, 2018","3,910","3,890","3,950","3,890","49.05M","-0.76%"
"Jul 27, 2018","3,940","3,910","3,950","3,890","52.51M","0.25%"
"Jul 26, 2018","3,930","3,920","3,940","3,890","55.76M","0.77%"
"Jul 25, 2018","3,900","4,060","4,060","3,900","55.62M","-3.23%"
"Jul 24, 2018","4,030","4,090","4,090","4,030","64.35M","-0.74%"
"Jul 23, 2018","4,060","4,030","4,090","4,010","74.61M","1.75%"
"Jul 20, 2018","3,990","3,900","3,990","3,890","66.46M","2.05%"
"Jul 19, 2018","3,910","4,000","4,000","3,910","65.34M","-2.49%"
"Jul 18, 2018","4,010","3,910","4,030","3,890","75.16M","1.78%"
"Jul 17, 2018","3,940","3,970","3,970","3,890","53.74M","0.00%"
"Jul 16, 2018","3,940","3,970","4,030","3,860","66.23M","-1.99%"
"Jul 13, 2018","4,020","4,080","4,100","3,970","120.85M","-1.95%"
"Jul 12, 2018","4,100","4,050","4,110","4,040","114.53M","0.99%"
"Jul 11, 2018","4,060","4,000","4,080","3,960","144.06M","0.74%"
"Jul 10, 2018","4,030","3,990","4,050","3,960","118.13M","1.26%"
"Jul 09, 2018","3,980","3,900","4,000","3,880","68.80M","3.11%"
"Jul 06, 2018","3,860","3,850","3,890","3,830","67.66M","0.78%"
"Jul 05, 2018","3,830","3,800","3,830","3,760","59.72M","1.86%"
"Jul 04, 2018","3,760","3,700","3,810","3,630","54.88M","1.62%"
"Jul 03, 2018","3,700","3,740","3,740","3,670","79.44M","-1.33%"
"Jul 02, 2018","3,750","3,800","3,800","3,710","55.81M","0.00%"
"Jun 29, 2018","3,750","3,650","3,750","3,640","79.12M","2.46%"
"Jun 28, 2018","3,660","3,700","3,720","3,660","133.78M","-1.35%"
"Jun 27, 2018","3,710","3,690","3,780","3,690","106.62M","0.54%"
