Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,7100.000000,7100.000000,7000.000000,7075.000000,6869.380859,30739500
2018-09-05,6900.000000,6950.000000,6725.000000,6775.000000,6578.099609,52098900
2018-09-06,6675.000000,6875.000000,6600.000000,6800.000000,6602.373047,60188600
2018-09-07,6900.000000,7175.000000,6825.000000,7175.000000,6966.474609,42928600
2018-09-10,7125.000000,7175.000000,6975.000000,7175.000000,6966.474609,21884300
2018-09-11,7175.000000,7175.000000,7175.000000,7175.000000,6966.474609,0
2018-09-12,7175.000000,7275.000000,7125.000000,7125.000000,6917.927734,27126400
2018-09-13,7275.000000,7275.000000,7000.000000,7075.000000,6869.380859,22644700
2018-09-14,7075.000000,7225.000000,7050.000000,7225.000000,7015.021484,17697900
2018-09-17,7125.000000,7125.000000,6950.000000,6950.000000,6748.013672,15380700
2018-09-18,6925.000000,7125.000000,6875.000000,7025.000000,6820.833984,31839500
2018-09-19,7100.000000,7400.000000,7100.000000,7400.000000,7184.935547,28048600
2018-09-20,7400.000000,7575.000000,7325.000000,7500.000000,7282.029297,37420600
2018-09-21,7475.000000,7475.000000,7225.000000,7250.000000,7039.294922,48533000
2018-09-24,7200.000000,7225.000000,7075.000000,7125.000000,6917.927734,24764900
2018-09-25,7100.000000,7200.000000,7075.000000,7200.000000,6990.748047,14404300
2018-09-26,7200.000000,7425.000000,7200.000000,7350.000000,7136.388672,25803300
2018-09-27,7225.000000,7375.000000,7200.000000,7375.000000,7160.662109,29349300
2018-09-28,7275.000000,7450.000000,7275.000000,7350.000000,7136.388672,31995300
2018-10-01,7225.000000,7475.000000,7225.000000,7325.000000,7112.115234,14131300
2018-10-02,7450.000000,7450.000000,7125.000000,7200.000000,6990.748047,19915100
2018-10-03,7250.000000,7275.000000,7175.000000,7200.000000,6990.748047,16575900
2018-10-04,7125.000000,7150.000000,7025.000000,7075.000000,6869.380859,19705600
2018-10-05,6975.000000,7050.000000,6900.000000,6950.000000,6805.729980,25996300
2018-10-08,6900.000000,6975.000000,6850.000000,6850.000000,6707.805664,19133100
2018-10-09,6975.000000,7025.000000,6850.000000,7025.000000,6879.173340,17361000
2018-10-10,7000.000000,7050.000000,6900.000000,6950.000000,6805.729980,17102700
2018-10-11,6800.000000,6825.000000,6700.000000,6725.000000,6585.400391,40456500
2018-10-12,6775.000000,6925.000000,6775.000000,6850.000000,6707.805664,28756200
2018-10-15,6850.000000,6925.000000,6825.000000,6850.000000,6707.805664,18822300
2018-10-16,6900.000000,6975.000000,6825.000000,6975.000000,6830.210938,18553300
2018-10-17,7075.000000,7100.000000,6975.000000,7025.000000,6879.173340,23333900
2018-10-18,7025.000000,7025.000000,6950.000000,7025.000000,6879.173340,12591900
2018-10-19,7000.000000,7350.000000,6975.000000,7300.000000,7148.464844,48440500
2018-10-22,7275.000000,7300.000000,7200.000000,7275.000000,7123.983398,22418400
2018-10-23,7200.000000,7375.000000,7125.000000,7350.000000,7197.426758,38954800
2018-10-24,7350.000000,7450.000000,7300.000000,7300.000000,7148.464844,36406600
2018-10-25,7100.000000,7375.000000,7100.000000,7375.000000,7221.907715,26522600
2018-10-26,7375.000000,7425.000000,7275.000000,7425.000000,7270.869629,22297400
2018-10-29,7475.000000,7625.000000,7450.000000,7500.000000,7344.312988,50786300
2018-10-30,7500.000000,7750.000000,7450.000000,7700.000000,7540.161133,39056900
2018-10-31,7725.000000,7900.000000,7700.000000,7900.000000,7736.009766,46586400
2018-11-01,7925.000000,8050.000000,7900.000000,8050.000000,7882.895996,59367100
2018-11-02,8150.000000,8200.000000,8050.000000,8175.000000,8005.301270,58720200
2018-11-05,8150.000000,8250.000000,8050.000000,8250.000000,8078.744141,32945600
2018-11-06,8250.000000,8250.000000,7975.000000,8100.000000,7931.857910,40294600
2018-11-07,8125.000000,8325.000000,8050.000000,8225.000000,8054.263184,44005500
2018-11-08,8300.000000,8425.000000,8150.000000,8200.000000,8029.782227,48031900
2018-11-09,8200.000000,8250.000000,8100.000000,8175.000000,8005.301270,26391600
2018-11-12,8050.000000,8125.000000,7875.000000,7875.000000,7711.528809,27601900
2018-11-13,7850.000000,8100.000000,7825.000000,8000.000000,7833.933594,40483500
2018-11-14,8200.000000,8300.000000,8100.000000,8175.000000,8005.301270,35668500
2018-11-15,8325.000000,8525.000000,8275.000000,8525.000000,8348.036133,59979400
2018-11-16,8500.000000,8575.000000,8400.000000,8550.000000,8372.516602,45617600
2018-11-19,8550.000000,8550.000000,8400.000000,8500.000000,8323.554688,26364000
2018-11-20,8500.000000,8500.000000,8500.000000,8500.000000,8323.554688,0
2018-11-21,8300.000000,8575.000000,8275.000000,8450.000000,8274.592773,27715700
2018-11-22,8250.000000,8475.000000,8250.000000,8450.000000,8274.592773,21296200
2018-11-23,8400.000000,8425.000000,8300.000000,8400.000000,8225.630859,7150800
2018-11-26,8375.000000,8425.000000,8325.000000,8325.000000,8152.187500,18712300
2018-11-27,8225.000000,8450.000000,8225.000000,8400.000000,8225.630859,21522600
2018-11-28,8400.000000,8400.000000,8175.000000,8400.000000,8225.630859,40728200
2018-11-29,8450.000000,8575.000000,8400.000000,8475.000000,8299.073242,46667000
2018-11-30,8575.000000,8625.000000,8375.000000,8550.000000,8372.516602,69165200
2018-12-03,8700.000000,8775.000000,8525.000000,8600.000000,8421.478516,44652600
2018-12-04,8600.000000,8600.000000,8425.000000,8525.000000,8348.036133,50127600
2018-12-05,8400.000000,8475.000000,8250.000000,8325.000000,8152.187500,28909900
2018-12-06,8200.000000,8250.000000,8050.000000,8100.000000,7931.857910,55894200
2018-12-07,8100.000000,8275.000000,8075.000000,8225.000000,8054.263184,58677800
2018-12-10,8075.000000,8175.000000,8050.000000,8150.000000,7980.820313,23912000
2018-12-11,8150.000000,8250.000000,8150.000000,8150.000000,7980.820313,34673200
2018-12-12,8275.000000,8275.000000,8200.000000,8250.000000,8078.744141,23533500
2018-12-13,8300.000000,8625.000000,8275.000000,8450.000000,8274.592773,57420600
